Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210618|2425.00C,$SPX,"2,425.00",+42.73%,"1,807.20","1,809.00","1,810.80",424.96,424.96,unch,0,201,0.00,175.71%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2450.00C,$SPX,"2,450.00",+42.14%,"1,782.20","1,784.00","1,785.80","1,120.40",53.60,+5.02%,1,14,0.07,172.66%,Call,4,06/18/21,11/11/20,12.18%,7.33%
$SPX|20210618|2475.00C,$SPX,"2,475.00",+41.55%,"1,757.20","1,759.00","1,760.80",672.26,672.26,unch,0,91,0.00,169.64%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2500.00C,$SPX,"2,500.00",+40.96%,"1,732.20","1,733.95","1,735.70","1,699.59",43.09,+2.60%,5,"2,325",0.00,162.71%,Call,4,06/18/21,05/24/21,12.18%,7.33%
$SPX|20210618|2525.00C,$SPX,"2,525.00",+40.37%,"1,707.20","1,709.05","1,710.90","1,717.37",141.65,+8.99%,3,269,0.01,166.86%,Call,4,06/18/21,06/11/21,12.18%,7.33%
$SPX|20210618|2550.00C,$SPX,"2,550.00",+39.78%,"1,682.20","1,684.20","1,686.20","1,399.57",220.38,+18.69%,50,781,0.06,171.04%,Call,4,06/18/21,03/31/21,12.18%,7.33%
$SPX|20210618|2575.00C,$SPX,"2,575.00",+39.19%,"1,657.20","1,659.10","1,661.00","1,496.76",90.85,+6.46%,1,219,0.00,163.57%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2590.00C,$SPX,"2,590.00",+38.84%,"1,642.20","1,644.05","1,645.90",0.00,0.00,unch,0,0,0.00,159.16%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2600.00C,$SPX,"2,600.00",+38.60%,"1,632.20","1,634.05","1,635.90","1,608.00",226.64,+16.41%,1,"2,564",0.00,157.99%,Call,4,06/18/21,05/28/21,12.18%,7.33%
$SPX|20210618|2610.00C,$SPX,"2,610.00",+38.37%,"1,622.20","1,624.05","1,625.90",0.00,0.00,unch,0,0,0.00,156.83%,Call,4,06/18/21,N/A,12.18%,7.33%
