Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
"3,860.00",+9.29%,402.10,402.85,403.60,279.04,-18.35,-6.17%,3,473,0.01,24.48%,Call,05/19/21
"3,870.00",+9.05%,392.50,393.25,394.00,275.00,-13.22,-4.59%,2,343,0.01,24.18%,Call,05/19/21
"3,875.00",+8.93%,387.70,388.45,389.20,367.14,12.21,+3.44%,2,"1,175",0.00,24.02%,Call,06/09/21
"3,880.00",+8.82%,383.00,383.75,384.50,343.93,26.85,+8.47%,65,248,0.26,23.92%,Call,05/26/21
"3,890.00",+8.58%,373.20,373.95,374.70,272.25,-33.74,-11.03%,1,454,0.00,23.51%,Call,05/12/21
"3,900.00",+8.35%,363.80,364.55,365.30,348.22,5.42,+1.58%,1,"4,707",0.00,23.28%,Call,06/10/21
"3,910.00",+8.11%,354.20,354.95,355.70,324.88,7.56,+2.38%,5,242,0.02,22.95%,Call,06/02/21
"3,920.00",+7.88%,344.50,345.25,346.00,314.88,11.29,+3.72%,40,737,0.05,22.56%,Call,06/07/21
"3,925.00",+7.76%,339.90,340.65,341.40,322.23,1.03,+0.32%,2,862,0.00,22.47%,Call,06/14/21
"3,930.00",+7.64%,335.10,335.80,336.50,319.43,9.55,+3.08%,2,410,0.00,22.28%,Call,06/11/21
"3,940.00",+7.41%,325.60,326.35,327.10,321.16,22.63,+7.58%,1,453,0.00,21.98%,Call,06/10/21
"3,950.00",+7.17%,316.20,316.95,317.70,299.50,-2.66,-0.88%,1,"6,109",0.00,21.70%,Call,06/11/21
"3,960.00",+6.94%,306.60,307.35,308.10,292.43,5.45,+1.90%,1,364,0.00,21.32%,Call,06/11/21
"3,970.00",+6.70%,297.00,297.75,298.50,268.12,4.10,+1.55%,3,542,0.01,20.94%,Call,05/28/21
"3,975.00",+6.58%,292.50,293.20,293.90,278.24,-0.11,-0.04%,2,736,0.00,20.84%,Call,06/14/21
"3,980.00",+6.47%,287.80,288.55,289.30,270.64,22.49,+9.06%,6,188,0.03,20.69%,Call,06/08/21
"3,990.00",+6.23%,278.40,279.15,279.90,261.22,21.82,+9.11%,1,136,0.01,20.36%,Call,06/09/21
"4,000.00",+6.00%,268.90,269.65,270.40,252.19,0.20,+0.08%,3,"26,416",0.00,19.99%,Call,06/14/21
"4,010.00",+5.76%,259.80,260.55,261.30,246.02,2.37,+0.97%,3,138,0.02,19.74%,Call,06/14/21
"4,020.00",+5.53%,250.50,251.25,252.00,232.12,-2.55,-1.09%,1,367,0.00,19.40%,Call,06/07/21
"4,025.00",+5.41%,245.80,246.50,247.20,229.77,-0.55,-0.24%,4,719,0.01,19.20%,Call,06/14/21
"4,030.00",+5.29%,241.30,242.00,242.70,233.48,7.76,+3.44%,1,347,0.00,19.07%,Call,06/10/21
"4,040.00",+5.06%,232.10,232.80,233.50,221.57,0.87,+0.39%,5,399,0.01,18.75%,Call,06/11/21
"4,050.00",+4.82%,222.90,223.65,224.40,207.39,-0.30,-0.14%,4,"2,372",0.00,18.42%,Call,06/14/21
"4,060.00",+4.59%,213.90,214.65,215.40,200.89,-3.06,-1.50%,1,229,0.00,18.12%,Call,06/14/21
"4,070.00",+4.35%,204.90,205.65,206.40,189.55,21.01,+12.47%,4,567,0.01,17.81%,Call,06/14/21
"4,075.00",+4.23%,200.40,201.05,201.70,186.39,-5.81,-3.02%,8,"2,173",0.00,17.62%,Call,06/14/21
"4,080.00",+4.12%,196.00,196.65,197.30,188.68,7.18,+3.96%,4,424,0.01,17.48%,Call,06/11/21
"4,090.00",+3.88%,187.10,187.75,188.40,189.00,15.75,+9.09%,3,505,0.01,17.16%,Call,06/14/21
"4,100.00",+3.65%,178.20,178.85,179.50,163.94,-0.69,-0.42%,50,"4,967",0.01,16.82%,Call,06/14/21
"4,110.00",+3.41%,169.50,170.20,170.90,157.40,-4.90,-3.02%,41,617,0.07,16.52%,Call,06/14/21
"4,120.00",+3.18%,160.90,161.55,162.20,148.74,-0.04,-0.03%,36,638,0.06,16.21%,Call,06/14/21
"4,125.00",+3.06%,156.50,157.20,157.90,158.31,17.61,+12.52%,4,"3,428",0.00,16.03%,Call,06/14/21
"4,130.00",+2.94%,152.30,153.00,153.70,139.00,3.60,+2.66%,1,380,0.00,15.89%,Call,06/14/21
"4,140.00",+2.71%,143.80,144.50,145.20,142.55,10.77,+8.17%,1,882,0.00,15.57%,Call,06/14/21
"4,150.00",+2.47%,135.50,136.10,136.70,134.12,12.96,+10.70%,64,"7,759",0.01,15.24%,Call,06/14/21
"4,160.00",+2.24%,127.10,127.75,128.40,128.11,10.16,+8.61%,45,"1,523",0.03,14.98%,Call,06/14/21
"4,170.00",+2.00%,119.00,119.60,120.20,119.96,6.76,+5.97%,18,573,0.03,14.66%,Call,06/14/21
"4,175.00",+1.88%,114.90,115.55,116.20,104.15,-1.04,-0.99%,89,"7,112",0.01,14.41%,Call,06/14/21
"4,180.00",+1.77%,111.00,111.60,112.20,111.22,13.14,+13.40%,15,"2,057",0.01,14.17%,Call,06/14/21
"4,190.00",+1.53%,103.10,103.70,104.30,92.65,-2.96,-3.10%,26,607,0.04,13.93%,Call,06/14/21
"4,200.00",+1.30%,95.40,95.95,96.50,96.02,9.02,+10.37%,168,"8,232",0.02,13.61%,Call,06/14/21
